,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
0,AHP Capital Place,2025-03-06,38.1578947368421,-6.232,106.8205,IQAir,34.337067,34.00398246341281,34.07940808667101
1,AHP Capital Place,2025-03-06,38.1578947368421,-6.232,106.8205,IQAir,34.654785,33.87728108512031,34.38903425582583
2,ANTARA ETP - Bundaran HI,2025-03-06,40.25,-6.1955,106.8243,IQAir,35.005337,35.07018285539415,35.4143132921226
3,ANTARA ETP - Bundaran HI,2025-03-06,40.25,-6.1955,106.8243,IQAir,35.32254,35.119167438083224,35.56269811413652
4,Agung Sedayu Group - WTP Ebony (BGM),2025-03-06,25.842105263157894,-6.1039,106.7459,IQAir,31.840303,30.076158167521154,33.62564131123411
5,Agung Sedayu Group - WTP Ebony (BGM),2025-03-06,25.842105263157894,-6.1039,106.7459,IQAir,31.767084,30.276228580474854,33.38662126363968
6,Ancol,2025-03-06,24.25833333333333,-6.1246,106.8512,IQAir,24.197573,25.254466623153235,23.624126088944056
7,Ancol,2025-03-06,24.25833333333333,-6.1246,106.8512,IQAir,24.197573,25.254466623153235,23.624126088944056
8,Ancol,2025-03-06,24.25833333333333,-6.1246,106.8512,IQAir,24.181122,25.254466623153235,22.48867090750139
9,Ancol,2025-03-06,24.25833333333333,-6.1246,106.8512,IQAir,24.181122,25.254466623153235,22.48867090750139
10,Antara ETP - Antara Heritage Center,2025-03-06,28.0,-6.1656,106.8341,IQAir,34.32943,34.121810789108274,34.52195672894726
11,Antara ETP - Antara Heritage Center,2025-03-06,28.0,-6.1656,106.8341,IQAir,34.245773,34.22818686803182,34.80293932609755
12,Ascott Kuningan - myhome,2025-03-06,37.0,-6.2251,106.824,IQAir,34.286068,34.55460344102647,33.555779225806745
13,Ascott Kuningan - myhome,2025-03-06,37.0,-6.2251,106.824,IQAir,34.533806,34.556992064581976,33.79677512905733
14,Cilandak Barat,2025-03-06,37.8125,-6.2997,106.8006,IQAir,34.260624,36.45772337383697,34.477328234345535
15,Cilandak Barat,2025-03-06,37.8125,-6.2997,106.8006,IQAir,34.352795,36.358150890138425,34.26042847686324
16,Cipete Selatan Asem II,2025-03-06,35.13333333333333,-6.2736,106.8042,IQAir,33.465187,36.198755529191764,34.13670655645398
17,Cipete Selatan Asem II,2025-03-06,35.13333333333333,-6.2736,106.8042,IQAir,33.386948,36.24224856482612,34.22756671472189
18,DKJ01 Bundaran HI,2025-03-06,36.56571428571428,-6.1948,106.8231,UdaraJakarta,35.005337,35.07018285539415,35.4143132921226
19,DKJ01 Bundaran HI,2025-03-06,36.56571428571428,-6.1948,106.8231,UdaraJakarta,35.32254,35.119167438083224,35.56269811413652
20,DKJ02 Kelapa Gading,2025-03-06,38.76809523809524,-6.1539,106.908,UdaraJakarta,36.34273,37.55986312256,37.4939602611822
21,DKJ02 Kelapa Gading,2025-03-06,38.76809523809524,-6.1539,106.908,UdaraJakarta,36.34273,37.55986312256,37.4939602611822
