,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
2,AHP Capital Place,2025-10-04,48.833333333333336,-6.232,106.8205,IQAir,38.962643,38.96136057930667,38.96260815563125
3,ANTARA ETP - Bundaran HI,2025-10-04,45.45,-6.1955,106.8243,IQAir,38.962643,38.96136057930667,38.96260815563125
4,Agung Sedayu Group - WTP Ebony (BGM),2025-10-04,40.63157894736842,-6.1039,106.7459,IQAir,45.305504,43.41962349997626,44.292426035819226
5,Agung Sedayu Group - WTP Ebony (BGM),2025-10-04,40.63157894736842,-6.1039,106.7459,IQAir,45.738457,43.64821344799464,44.43373943455629
6,Antara ETP - Antara Heritage Center,2025-10-04,42.94736842105263,-6.1656,106.8341,IQAir,38.962643,38.96136057930667,38.96260815563125
7,Ascott Kuningan - myhome,2025-10-04,53.89473684210526,-6.2251,106.824,IQAir,38.962643,38.96136057930667,38.96260815563125
17,Cilandak Barat,2025-10-04,53.6,-6.2997,106.8006,IQAir,43.844402,42.99734783384536,43.87809281237266
18,Cilandak Barat,2025-10-04,53.6,-6.2997,106.8006,IQAir,44.949947,42.86790798611112,43.9091760817776
19,Cipete Selatan Asem II,2025-10-04,43.421052631578945,-6.2736,106.8042,IQAir,42.786064,43.62969356536866,42.73758032968588
20,Cipete Selatan Asem II,2025-10-04,43.421052631578945,-6.2736,106.8042,IQAir,42.891495,43.69748564614191,42.80737487312413
22,DKJ01 Bundaran HI,2025-10-04,49.511250000000004,-6.1948,106.8231,UdaraJakarta,38.962643,38.96136057930667,38.96260815563125
23,DKJ02 Kelapa Gading,2025-10-04,41.14,-6.1539,106.908,UdaraJakarta,47.60815,43.5572464877022,45.81632138343978
24,DKJ02 Kelapa Gading,2025-10-04,41.14,-6.1539,106.908,UdaraJakarta,47.60815,43.5572464877022,45.81632138343978
25,DKJ02 Kelapa Gading,2025-10-04,41.14,-6.1539,106.908,UdaraJakarta,47.600094,43.705076687219645,46.09498384023179
26,DKJ02 Kelapa Gading,2025-10-04,41.14,-6.1539,106.908,UdaraJakarta,47.600094,43.705076687219645,46.09498384023179
27,DKJ03 Jagakarsa,2025-10-04,45.652,-6.3362,106.8186,UdaraJakarta,43.40535,44.94735069486831,43.99663717002781
28,DKJ03 Jagakarsa,2025-10-04,45.652,-6.3362,106.8186,UdaraJakarta,43.804527,45.00351692623563,43.97987317209783
29,DKJ04 Lubang Buaya,2025-10-04,30.85111111111111,-6.2903,106.9086,UdaraJakarta,36.317722,33.767585006419175,35.662643463366535
30,DKJ04 Lubang Buaya,2025-10-04,30.85111111111111,-6.2903,106.9086,UdaraJakarta,36.317722,33.767585006419175,35.662643463366535
31,DKJ04 Lubang Buaya,2025-10-04,30.85111111111111,-6.2903,106.9086,UdaraJakarta,36.317722,33.767585006419175,35.66490087387695
32,DKJ04 Lubang Buaya,2025-10-04,30.85111111111111,-6.2903,106.9086,UdaraJakarta,36.317722,33.767585006419175,35.66490087387695
33,DKJ05 Kebun Jeruk,2025-10-04,47.37,-6.192,106.7708,UdaraJakarta,45.99811,44.38193975939282,47.181519070897465
34,DKJ05 Kebun Jeruk,2025-10-04,47.37,-6.192,106.7708,UdaraJakarta,45.992645,44.45075896773298,47.06007146003856
35,DKJ31 Rusun Marunda,2025-10-04,39.83125,-6.0966,106.963,UdaraJakarta,46.979317,46.52870477676392,48.19982434539587
36,DKJ31 Rusun Marunda,2025-10-04,39.83125,-6.0966,106.963,UdaraJakarta,47.429955,46.52223173141479,48.02388803790483
39,"Duitku PG, Kebon Jeruk",2025-10-04,42.13636363636363,-6.1916,106.7588,IQAir,40.14598,41.5066691674192,41.08818071092821
40,"Duitku PG, Kebon Jeruk",2025-10-04,42.13636363636363,-6.1916,106.7588,IQAir,40.14598,41.5066691674192,41.08818071092821
41,"Duitku PG, Kebon Jeruk",2025-10-04,42.13636363636363,-6.1916,106.7588,IQAir,40.295444,41.4458661525731,41.13285937708389
42,"Duitku PG, Kebon Jeruk",2025-10-04,42.13636363636363,-6.1916,106.7588,IQAir,40.295444,41.4458661525731,41.13285937708389
43,Gading Harmony,2025-10-04,43.185,-6.1656,106.8995,IQAir,43.39751,43.20785964166381,42.83533577493929
44,Gading Harmony,2025-10-04,43.185,-6.1656,106.8995,IQAir,43.379013,43.1821182386879,42.56446163086868
45,Graha LMU,2025-10-04,54.75,-6.1839,106.9227,IQAir,51.589573,50.622956877739455,51.48938921796987
46,Graha LMU,2025-10-04,54.75,-6.1839,106.9227,IQAir,51.589573,50.622956877739455,51.48938921796987
47,Graha LMU,2025-10-04,54.75,-6.1839,106.9227,IQAir,51.503345,50.60337671047399,51.44639881952445
48,Graha LMU,2025-10-04,54.75,-6.1839,106.9227,IQAir,51.503345,50.60337671047399,51.44639881952445
49,Gran Melia Jakarta,2025-10-04,49.25,-6.2348,106.83,IQAir,43.571785,46.93083914250997,45.92204645814365
50,Gran Melia Jakarta,2025-10-04,49.25,-6.2348,106.83,IQAir,43.56373,46.960474430116726,45.91390600142015
51,INDODAX,2025-10-04,43.90434782608696,-6.2122,106.8214,IQAir,38.962643,38.96136057930667,38.96260815563125
54,Jakarta-Selatan-CasaGrande,2025-10-04,46.23809523809524,-6.222,106.842,IQAir,44.856377,45.83123239120052,46.017933271806015
55,Jakarta-Selatan-CasaGrande,2025-10-04,46.23809523809524,-6.222,106.842,IQAir,44.75125,45.72821814129671,45.93029517699165
56,Jeruk Purut,2025-10-04,51.57142857142857,-6.2842,106.8118,IQAir,45.429142,42.87916334576076,45.561536067310094
57,Jeruk Purut,2025-10-04,51.57142857142857,-6.2842,106.8118,IQAir,45.63842,42.8872412723965,45.625983105061735
58,Jimbaran 2,2025-10-04,43.94444444444444,-6.1201,106.8571,IQAir,42.50013,42.922071033053925,43.24215634504721
59,Jimbaran 2,2025-10-04,43.94444444444444,-6.1201,106.8571,IQAir,42.618614,42.9585288365682,43.28388472970654
